YanındayızFeyzioğlu	{"userID":"2539400231","text":"!      #YanındayızFeyzioğlu","created_at":"20140510-173807","id_str":"465184019727253504"}
NBLJosephineVoto	{"userID":"2526795371","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº.118","created_at":"20140510-054526","id_str":"465004667114905600"}
NBLJosephineVoto	{"userID":"2526795371","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº.118","created_at":"20140510-054526","id_str":"465004667114905600"}
NBLJosephineVoto	{"userID":"2526795371","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº.118","created_at":"20140510-054526","id_str":"465004667114905600"}
NBLJosephineVoto	{"userID":"2526795371","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº.118","created_at":"20140510-054526","id_str":"465004667114905600"}
NBLJosephineVoto	{"userID":"2526795371","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº.118","created_at":"20140510-054526","id_str":"465004667114905600"}
NBLJosephineVoto	{"userID":"2526795371","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº.118","created_at":"20140510-054526","id_str":"465004667114905600"}
NBLJosephineVoto	{"userID":"2526795371","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº.118","created_at":"20140510-054526","id_str":"465004667114905600"}
NBLJosephineVoto	{"userID":"2427547081","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº226","created_at":"20140510-191825","id_str":"465209261039951873"}
NBLJosephineVoto	{"userID":"2427547081","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº226","created_at":"20140510-191825","id_str":"465209261039951873"}
NBLJosephineVoto	{"userID":"2427547081","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº226","created_at":"20140510-191825","id_str":"465209261039951873"}
NBLJosephineVoto	{"userID":"2427547081","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº226","created_at":"20140510-191825","id_str":"465209261039951873"}
NBLJosephineVoto	{"userID":"2427547081","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº226","created_at":"20140510-191825","id_str":"465209261039951873"}
NBLJosephineVoto	{"userID":"2427547081","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº226","created_at":"20140510-191825","id_str":"465209261039951873"}
NBLJosephineVoto	{"userID":"2427547081","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº226","created_at":"20140510-191825","id_str":"465209261039951873"}
NBLJosephineVoto	{"userID":"2486077261","text":"!  #NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto\n#NBLJosephineVoto   PªFº4%","created_at":"20140510-222256","id_str":"465255696196698112"}
